property_id,value_segment
ZRX00626,Normal
ZRX00627,Value
ZRX00628,Super Value Plus
ZRX00629,Value
ZRX00636,Value
ZRX00637,Value
ZRX00644,Value
ZRX00645,Value
ZRX00646,Normal
ZRX00647,Value
ZRX00654,Value
ZRX00672,Value Plus
ZRX00676,Value
ZRX00678,Value Plus
ZRX00681,Normal
ZRX00685,Normal
ZRX00689,Value Plus
ZRX00691,Value Plus
ZRX00694,Standard
ZRX00698,Value
ZRX00702,Value
ZRX00705,Normal
ZRX00706,Standard
ZRX00713,Super Value Plus
ZRX00718,Value
ZRX00721,Normal
ZRX00723,Standard
ZRX00727,Normal
ZRX00729,Value Plus
ZRX00732,Super Value Plus
ZRX00733,Normal
ZRX00734,Standard
ZRX00736,Value
ZRX00737,Standard
ZRX00739,Value Plus
ZRX00743,Super Value Plus
ZRX00745,Value Plus
ZRX00748,Value
ZRX00751,Normal
ZRX00755,Normal
ZRX00756,Value
ZRX00760,Value Plus
ZRX00762,Super Value Plus
ZRX00763,Super Value Plus
ZRX00770,Value
ZRX00773,Normal
ZRX00774,Standard
ZRX00777,Standard
ZRX00788,Value Plus
ZRX00801,Normal
ZRX00811,Normal
ZRX00812,Normal
ZRX00817,Super Value Plus
ZRX00819,Super Value Plus
ZRX00820,Super Value Plus
ZRX00823,Value Plus
ZRX00828,Super Value Plus
ZRX00829,Super Value Plus
ZRX00830,Normal
ZRX00831,Standard
ZRX00833,Value Plus
ZRX00837,Standard
ZRX00838,Standard
ZRX00840,Normal
ZRX00847,Normal
ZRX00850,Normal
ZRX00852,Value
ZRX00859,Standard
ZRX00862,Value Plus
ZRX00863,Normal
ZRX00866,Super Value Plus
ZRX00867,Value Plus
ZRX00871,Standard
ZRX00872,Normal
ZRX00874,Normal
ZRX00875,Standard
ZRX00876,Normal
ZRX00877,Value Plus
ZRX00882,Value Plus
ZRX00883,Normal
ZRX00887,Value Plus
ZRX00890,Standard
ZRX00893,Value Plus
ZRX00897,Value Plus
ZRX00901,Standard
ZRX00908,Value
ZRX00912,Super Value Plus
ZRX00913,Value
ZRX00914,Super Value Plus
ZRX00915,Standard
ZRX00918,Value Plus
ZRX00919,Super Value Plus
ZRX00921,Standard
ZRX00922,Normal
ZRX00924,Value
ZRX00927,Normal
ZRX00929,Value Plus
ZRX00932,Super Value Plus
ZRX00933,Super Value Plus
ZRX00939,Value Plus
ZRX00945,Value Plus
ZRX00946,Standard
ZRX00950,Normal
ZRX00951,Standard
ZRX00952,Super Value Plus
ZRX00966,Super Value Plus
ZRX00971,Value Plus
ZRX00973,Value Plus
ZRX00974,Super Value Plus
ZRX00982,Value Plus
ZRX00983,Value
ZRX00985,Value
ZRX00986,Value
ZRX00989,Value Plus
ZRX00995,Value Plus
ZRX00997,Normal
ZRX00999,Value Plus
ZRX01003,Super Value Plus
ZRX01004,Value Plus
ZRX01010,Value Plus
ZRX01012,Normal
ZRX01013,Normal
ZRX01014,Value
ZRX01023,Standard
ZRX01024,Value Plus
ZRX01026,Super Value Plus
ZRX01034,Normal
ZRX01037,Value Plus
ZRX01042,Value Plus
ZRX01045,Standard
ZRX01055,Value
ZRX01057,Value Plus
ZRX01067,Super Value Plus
ZRX01068,Super Value Plus
ZRX01069,Value Plus
ZRX01075,Normal
ZRX01076,Value
ZRX01081,Super Value Plus
ZRX01085,Normal
ZRX01100,Standard
ZRX01101,Normal
ZRX01102,Standard
ZRX01103,Value
ZRX01106,Value Plus
ZRX01119,Normal
ZRX01121,Super Value Plus
ZRX01122,Standard
ZRX01125,Value Plus
ZRX01126,Value
ZRX01128,Value Plus
ZRX01134,Super Value Plus
ZRX01135,Value
ZRX01148,Value Plus
ZRX01149,Normal
ZRX01151,Standard
ZRX01154,Value
ZRX01155,Value
ZRX01156,Value
ZRX01161,Standard
ZRX01166,Value Plus
ZRX01174,Standard
ZRX01176,Super Value Plus
ZRX01177,Standard
ZRX01178,Value
ZRX01190,Normal
ZRX01195,Super Value Plus
ZRX01200,Value
ZRX01209,Value
ZRX01210,Value Plus
ZRX01214,Super Value Plus
ZRX01217,Super Value Plus
ZRX01221,Standard
ZRX01226,Value Plus
ZRX01227,Normal
ZRX01228,Normal
ZRX01230,Value Plus
ZRX01235,Value
ZRX01237,Standard
ZRX01238,Normal
ZRX01240,Standard
ZRX01242,Normal
ZRX01244,Value
ZRX01245,Standard
ZRX01246,Value Plus
ZRX01254,Value Plus
ZRX01256,Normal
ZRX01261,Normal
ZRX01266,Standard
ZRX01286,Value
ZRX01293,Normal
ZRX01299,Normal
ZRX01302,Value Plus
ZRX01304,Normal
ZRX01307,Super Value Plus
ZRX01313,Value Plus
ZRX01317,Normal
ZRX01318,Super Value Plus
ZRX01321,Super Value Plus
ZRX01323,Value Plus
ZRX01324,Value
ZRX01328,Value Plus
ZRX01339,Standard
ZRX01346,Normal
ZRX01350,Value Plus
ZRX01353,Standard
ZRX01354,Standard
ZRX01358,Super Value Plus
ZRX01365,Super Value Plus
ZRX01370,Value Plus
ZRX01373,Value
ZRX01376,Normal
ZRX01380,Normal
ZRX01381,Value
ZRX01389,Super Value Plus
ZRX01392,Standard
ZRX01399,Value
ZRX01400,Value Plus
ZRX01401,Value
ZRX01404,Value Plus
ZRX01405,Normal
ZRX01407,Value
ZRX01411,Value Plus
ZRX01418,Super Value Plus
ZRX01424,Value
ZRX01429,Value
ZRX01446,Super Value Plus
ZRX01448,Normal
ZRX01451,Value
ZRX01452,Value Plus
ZRX01454,Value
ZRX01457,Super Value Plus
ZRX01458,Super Value Plus
ZRX01466,Standard
ZRX01471,Super Value Plus
ZRX01472,Super Value Plus
ZRX01483,Normal
ZRX01484,Value Plus
ZRX01492,Standard
ZRX01495,Normal
ZRX01500,Value Plus
ZRX01516,Normal
ZRX01522,Standard
ZRX01534,Value
ZRX01538,Standard
ZRX01545,Value
ZRX01547,Normal
ZRX01557,Standard
ZRX01558,Super Value Plus
ZRX01559,Normal
ZRX01565,Normal
ZRX01571,Standard
ZRX01572,Value Plus
ZRX01581,Value
ZRX01583,Normal
ZRX01585,Normal
ZRX01587,Super Value Plus
ZRX01590,Normal
ZRX01591,Value Plus
ZRX01600,Value
ZRX01604,Normal
ZRX01610,Normal
ZRX01611,Value
ZRX01612,Value Plus
ZRX01619,Standard
ZRX01620,Normal
ZRX01627,Value Plus
ZRX01628,Value Plus
ZRX01631,Super Value Plus
ZRX01635,Value
ZRX01636,Standard
ZRX01641,Value Plus
ZRX01644,Standard
ZRX01649,Standard
ZRX01651,Super Value Plus
ZRX01655,Value Plus
ZRX01660,Standard
ZRX01663,Value
ZRX01675,Normal
ZRX01676,Standard
ZRX01679,Super Value Plus
ZRX01681,Value
ZRX01682,Normal
ZRX01690,Value Plus
ZRX01692,Value Plus
ZRX01699,Normal
ZRX01700,Value
ZRX01707,Super Value Plus
ZRX01710,Normal
ZRX01711,Normal
ZRX01713,Standard
ZRX01715,Value Plus
ZRX01722,Value Plus
ZRX01727,Value Plus
ZRX01734,Value Plus
ZRX01740,Normal
ZRX01742,Super Value Plus
ZRX01744,Standard
ZRX01754,Standard
ZRX01762,Normal
ZRX01766,Normal
ZRX01767,Value
ZRX01772,Value
ZRX01778,Super Value Plus
ZRX01782,Value
ZRX01783,Standard
ZRX01785,Super Value Plus
ZRX01790,Super Value Plus
ZRX01794,Normal
ZRX01795,Value Plus
ZRX01796,Normal
ZRX01797,Value
ZRX01801,Value
ZRX01806,Value Plus
ZRX01807,Normal
ZRX01809,Standard
ZRX01815,Normal
ZRX01820,Super Value Plus
ZRX01822,Standard
ZRX01826,Standard
ZRX01834,Super Value Plus
ZRX01837,Value Plus
ZRX01838,Standard
ZRX01840,Standard
ZRX01846,Normal
ZRX01849,Normal
ZRX01850,Value
ZRX01851,Normal
ZRX01858,Standard
ZRX01861,Value Plus
ZRX01867,Normal
ZRX01870,Value Plus
ZRX01872,Super Value Plus
ZRX01878,Normal
ZRX01880,Normal
ZRX01882,Super Value Plus
ZRX01884,Value
ZRX01893,Super Value Plus
ZRX01898,Standard
ZRX01900,Standard
ZRX01904,Value
ZRX01918,Super Value Plus
ZRX01922,Value
ZRX01923,Value Plus
ZRX01925,Value
ZRX01926,Value
ZRX01928,Normal
ZRX01930,Value
ZRX01932,Standard
ZRX01933,Value
ZRX01936,Normal
ZRX01939,Normal
ZRX01944,Standard
ZRX01948,Standard
ZRX01956,Super Value Plus
ZRX01959,Normal
ZRX01962,Standard
ZRX01965,Normal
ZRX01968,Normal
ZRX01978,Super Value Plus
ZRX01984,Normal
ZRX01986,Normal
ZRX01989,Value
ZRX01999,Value Plus
ZRX02002,Normal
ZRX02007,Standard
ZRX02012,Value
ZRX02015,Normal
ZRX02017,Normal
ZRX02027,Normal
ZRX02032,Value Plus
ZRX02034,Value Plus
ZRX02035,Standard
ZRX02040,Value Plus
ZRX02041,Value
ZRX02047,Value Plus
ZRX02048,Super Value Plus
ZRX02052,Super Value Plus
ZRX02053,Value Plus
ZRX02056,Normal
ZRX02061,Standard
ZRX02072,Value Plus
ZRX02075,Super Value Plus
ZRX02081,Value
ZRX02082,Standard
ZRX02083,Normal
ZRX02085,Super Value Plus
ZRX02088,Super Value Plus
ZRX02090,Normal
ZRX02093,Standard
ZRX02096,Standard
ZRX02098,Normal
ZRX02099,Normal
ZRX02102,Value Plus
ZRX02103,Super Value Plus
ZRX02111,Standard
ZRX02112,Value Plus
ZRX02116,Super Value Plus
ZRX02117,Value Plus
ZRX02125,Normal
ZRX02127,Value
ZRX02129,Normal
ZRX02138,Super Value Plus
ZRX02139,Standard
ZRX02141,Standard
ZRX02144,Normal
ZRX02145,Value
ZRX02153,Value Plus
ZRX02161,Standard
ZRX02162,Normal
ZRX02170,Value
ZRX02171,Standard
ZRX02175,Super Value Plus
ZRX02178,Value Plus
ZRX02182,Standard
ZRX02184,Normal
ZRX02191,Super Value Plus
ZRX02195,Value
ZRX02200,Normal
ZRX02207,Super Value Plus
ZRX02211,Value
ZRX02215,Super Value Plus
ZRX02221,Value Plus
ZRX02224,Standard
ZRX02227,Standard
ZRX02232,Normal
ZRX02234,Normal
ZRX02236,Value Plus
ZRX02237,Value Plus
ZRX02244,Value Plus
ZRX02245,Normal
ZRX02250,Value
ZRX02255,Normal
ZRX02256,Normal
ZRX02263,Normal
ZRX02267,Value Plus
ZRX02268,Value Plus
ZRX02269,Standard
ZRX02277,Standard
ZRX02280,Standard
ZRX02286,Value Plus
ZRX02289,Normal
ZRX02290,Standard
ZRX02294,Normal
ZRX02297,Value Plus
ZRX02306,Normal
ZRX02307,Normal
ZRX02308,Super Value Plus
ZRX02311,Super Value Plus
ZRX02316,Super Value Plus
ZRX02317,Normal
ZRX02325,Normal
ZRX02326,Value Plus
ZRX02331,Standard
ZRX02340,Value Plus
ZRX02347,Value Plus
ZRX02354,Normal
ZRX02364,Normal
ZRX02381,Value Plus
ZRX02385,Super Value Plus
ZRX02394,Normal
ZRX02395,Normal
ZRX02396,Standard
ZRX02398,Standard
ZRX02409,Standard
ZRX02410,Normal
ZRX02411,Value Plus
ZRX02414,Super Value Plus
ZRX02416,Value
ZRX02417,Super Value Plus
ZRX02422,Value
ZRX02428,Value Plus
ZRX02429,Normal
ZRX02431,Value Plus
ZRX02433,Value
ZRX02443,Standard
ZRX02460,Standard
ZRX02462,Super Value Plus
ZRX02463,Value Plus
ZRX02466,Value
ZRX02470,Standard
ZRX02481,Standard
ZRX02487,Standard
ZRX02488,Value
ZRX02491,Standard
ZRX02494,Value
ZRX02497,Value
ZRX02498,Super Value Plus
ZRX02500,Standard
ZRX02501,Standard
ZRX02514,Value Plus
ZRX02516,Standard
ZRX02528,Super Value Plus
ZRX02532,Value
ZRX02533,Value
ZRX02541,Super Value Plus
ZRX02542,Value Plus
ZRX02547,Value Plus
ZRX02548,Standard
ZRX02550,Value Plus
ZRX02552,Normal
ZRX02557,Normal
ZRX02563,Standard
ZRX02568,Standard
ZRX02572,Value
ZRX02575,Value Plus
ZRX02577,Super Value Plus
ZRX02581,Value Plus
ZRX02585,Super Value Plus
ZRX02592,Value Plus
ZRX02601,Normal
ZRX02606,Value Plus
ZRX02607,Value
ZRX02612,Value
ZRX02618,Value Plus
ZRX02619,Normal
ZRX02621,Standard
ZRX02622,Value Plus
ZRX02623,Normal
ZRX02625,Normal
ZRX02626,Normal
ZRX02627,Value
ZRX02631,Value Plus
ZRX02632,Standard
ZRX02633,Value
ZRX02636,Value Plus
ZRX02642,Value Plus
ZRX02646,Value
ZRX02656,Value Plus
ZRX02665,Value
ZRX02675,Standard
ZRX02681,Standard
ZRX02683,Super Value Plus
ZRX02686,Standard
ZRX02687,Value
ZRX02690,Value
ZRX02694,Standard
ZRX02706,Value Plus
ZRX02709,Super Value Plus
ZRX02714,Super Value Plus
ZRX02715,Value Plus
ZRX02716,Super Value Plus
ZRX02725,Normal
ZRX02730,Normal
ZRX02731,Value Plus
ZRX02733,Standard
ZRX02742,Value
ZRX02747,Standard
ZRX02749,Value Plus
ZRX02750,Value
ZRX02755,Value
ZRX02756,Super Value Plus
ZRX02775,Normal
ZRX02776,Super Value Plus
ZRX02782,Normal
ZRX02783,Super Value Plus
ZRX02788,Normal
ZRX02789,Super Value Plus
ZRX02791,Super Value Plus
ZRX02795,Value Plus
ZRX02799,Super Value Plus
ZRX02804,Super Value Plus
ZRX02810,Super Value Plus
ZRX02818,Value
ZRX02822,Normal
ZRX02827,Standard
ZRX02830,Normal
ZRX02832,Super Value Plus
ZRX02834,Normal
ZRX02835,Standard
ZRX02840,Value
ZRX02850,Value Plus
ZRX02853,Super Value Plus
ZRX02855,Normal
ZRX02860,Value Plus
ZRX02866,Value
ZRX02868,Value
ZRX02872,Normal
ZRX02874,Standard
ZRX02882,Normal
ZRX02883,Normal
ZRX02884,Standard
ZRX02885,Super Value Plus
ZRX02887,Value Plus
ZRX02889,Normal
ZRX02893,Value
ZRX02895,Standard
ZRX02896,Standard
ZRX02903,Value Plus
ZRX02910,Super Value Plus
ZRX02911,Standard
ZRX02917,Value Plus
ZRX02919,Value
ZRX02923,Standard
ZRX02924,Normal
ZRX02927,Standard
ZRX02929,Super Value Plus
ZRX02938,Value Plus
ZRX02942,Super Value Plus
ZRX02947,Value
ZRX02956,Normal
ZRX02957,Value Plus
ZRX02959,Value Plus
ZRX02962,Standard
ZRX02970,Super Value Plus
ZRX02978,Standard
ZRX02982,Normal
ZRX02987,Value
ZRX02990,Standard
ZRX02997,Value Plus
ZRX03002,Normal
ZRX03005,Value Plus
ZRX03006,Normal
ZRX03007,Standard
ZRX03013,Standard
ZRX03024,Standard
ZRX03029,Value
ZRX03033,Value
ZRX03034,Normal
ZRX03035,Value Plus
ZRX03036,Value Plus
ZRX03039,Value
ZRX03043,Normal
ZRX03044,Super Value Plus
ZRX03047,Value
ZRX03048,Super Value Plus
ZRX03049,Normal
ZRX03056,Value Plus
ZRX03062,Super Value Plus
ZRX03064,Value Plus
ZRX03067,Value Plus
ZRX03069,Value Plus
ZRX03070,Value
ZRX03073,Normal
ZRX03076,Standard
ZRX03084,Normal
ZRX03086,Standard
ZRX03093,Standard
ZRX03095,Value
ZRX03099,Normal
ZRX03105,Normal
ZRX03111,Value Plus
ZRX03112,Value
ZRX03128,Super Value Plus
ZRX03131,Value
ZRX03133,Value Plus
ZRX03152,Value Plus
ZRX03164,Standard
ZRX03172,Value Plus
ZRX03175,Value
ZRX03179,Value
ZRX03197,Value
ZRX03200,Normal
ZRX03204,Normal
ZRX03205,Value
ZRX03208,Super Value Plus
ZRX03214,Value
ZRX03216,Normal
ZRX03218,Value Plus
ZRX03219,Value Plus
ZRX03223,Value
ZRX03224,Value Plus
ZRX03225,Value Plus
ZRX03229,Super Value Plus
ZRX03233,Value Plus
ZRX03243,Value Plus
ZRX03250,Value
ZRX03272,Normal
ZRX03277,Normal
ZRX03278,Value
ZRX03279,Normal
ZRX03283,Super Value Plus
ZRX03286,Super Value Plus
ZRX03291,Value
ZRX03294,Normal
ZRX03295,Value Plus
ZRX03301,Value
ZRX03302,Value Plus
ZRX03303,Normal
ZRX03307,Value
ZRX03311,Value Plus
ZRX03313,Value
ZRX03319,Value
ZRX03320,Standard
ZRX03325,Value Plus
ZRX03334,Normal
ZRX03339,Value
ZRX03342,Normal
ZRX03355,Normal
ZRX03358,Value Plus
ZRX03362,Standard
ZRX03366,Value Plus
ZRX03367,Standard
ZRX03368,Standard
ZRX03377,Standard
ZRX03380,Normal
ZRX03385,Normal
ZRX03391,Normal
ZRX03394,Super Value Plus
ZRX03395,Standard
ZRX03396,Super Value Plus
ZRX03397,Normal
ZRX03398,Normal
ZRX03400,Normal
ZRX03403,Value Plus
ZRX03408,Normal
ZRX03409,Super Value Plus
ZRX03412,Standard
ZRX03417,Super Value Plus
ZRX03419,Normal
ZRX03420,Normal
ZRX03421,Value Plus
ZRX03422,Super Value Plus
ZRX03424,Value Plus
ZRX03425,Super Value Plus
ZRX03431,Value Plus
ZRX03434,Value
ZRX03445,Normal
ZRX03446,Value Plus
ZRX03449,Value
ZRX03452,Super Value Plus
ZRX03469,Value
ZRX03471,Value Plus
ZRX03475,Value
ZRX03477,Value Plus
ZRX03479,Value Plus
ZRX03482,Normal
ZRX03483,Normal
ZRX03494,Standard
ZRX03508,Value Plus
ZRX03509,Super Value Plus
ZRX03512,Normal
ZRX03514,Normal
ZRX03516,Normal
ZRX03517,Value
ZRX03522,Normal
ZRX03525,Normal
ZRX03534,Normal
ZRX03538,Value
ZRX03541,Value Plus
ZRX03543,Value
ZRX03558,Normal
ZRX03561,Normal
ZRX03562,Standard
ZRX03563,Value Plus
ZRX03574,Value
ZRX03582,Normal
ZRX03583,Normal
ZRX03586,Value Plus
ZRX03591,Normal
ZRX03596,Value Plus
ZRX03598,Standard
ZRX03604,Super Value Plus
ZRX03605,Value
ZRX03610,Super Value Plus
ZRX03611,Value Plus
ZRX03616,Value Plus
ZRX03622,Value
ZRX03628,Standard
ZRX03629,Value Plus
ZRX03636,Value
ZRX03637,Normal
ZRX03639,Value
ZRX03643,Super Value Plus
ZRX03644,Value
ZRX03645,Normal
ZRX03649,Super Value Plus
ZRX03650,Value
ZRX03651,Value Plus
ZRX03652,Value Plus
ZRX03659,Normal
ZRX03661,Normal
ZRX03670,Value
ZRX03681,Normal
ZRX03684,Value Plus
ZRX03687,Standard
ZRX03688,Value
ZRX03697,Value
ZRX03703,Standard
ZRX03707,Value Plus
ZRX03710,Normal
ZRX03718,Value
ZRX03724,Normal
ZRX03725,Value Plus
ZRX03732,Super Value Plus
ZRX03739,Normal
ZRX03740,Value Plus
ZRX03756,Value Plus
ZRX03758,Value
ZRX03761,Value Plus
ZRX03762,Value Plus
ZRX03768,Value
ZRX03772,Normal
ZRX03778,Normal
ZRX03787,Value
ZRX03788,Normal
ZRX03789,Value Plus
ZRX03792,Super Value Plus
ZRX03806,Value
ZRX03808,Super Value Plus
ZRX03813,Standard
ZRX03819,Value
ZRX03822,Normal
ZRX03824,Normal
ZRX03827,Value Plus
ZRX03831,Super Value Plus
ZRX03834,Super Value Plus
ZRX03842,Super Value Plus
ZRX03851,Normal
ZRX03852,Normal
ZRX03854,Super Value Plus
ZRX03861,Normal
ZRX03866,Super Value Plus
ZRX03868,Normal
ZRX03871,Normal
ZRX03875,Normal
ZRX03876,Normal
ZRX03878,Standard
ZRX03886,Super Value Plus
ZRX03892,Normal
ZRX03893,Value Plus
ZRX03900,Normal
ZRX03903,Normal
ZRX03905,Super Value Plus
ZRX03913,Value
ZRX03915,Normal
ZRX03916,Standard
ZRX03921,Normal
ZRX03923,Value Plus
ZRX03926,Standard
ZRX03928,Super Value Plus
ZRX03931,Value Plus
ZRX03932,Value
ZRX03934,Value
ZRX03938,Normal
ZRX03939,Value Plus
ZRX03940,Standard
ZRX03941,Super Value Plus
ZRX03943,Value Plus
ZRX03945,Value
ZRX03947,Normal
ZRX03948,Normal
ZRX03952,Value Plus
ZRX03955,Super Value Plus
ZRX03956,Normal
ZRX03957,Value Plus
ZRX03959,Value
ZRX03961,Value Plus
ZRX03968,Normal
ZRX03969,Value
ZRX03979,Value Plus
ZRX03987,Value Plus
ZRX03988,Normal
ZRX03989,Value
ZRX03993,Super Value Plus
ZRX03997,Normal
ZRX04002,Value Plus
ZRX04006,Normal
ZRX04009,Normal
ZRX04015,Value
ZRX04027,Standard
ZRX04036,Value
ZRX04039,Standard
ZRX04042,Value
ZRX04046,Standard
ZRX04056,Normal
ZRX04068,Normal
ZRX04071,Normal
ZRX04082,Standard
ZRX04088,Normal
ZRX04092,Normal
ZRX04095,Normal
ZRX04103,Value Plus
ZRX04107,Value
ZRX04111,Super Value Plus
ZRX04112,Standard
ZRX04113,Value
ZRX04119,Value
ZRX04120,Standard
ZRX04128,Super Value Plus
ZRX04130,Standard
ZRX04140,Value
ZRX04142,Value Plus
ZRX04144,Standard
ZRX04146,Standard
ZRX04153,Normal
ZRX04157,Normal
ZRX04160,Standard
ZRX04161,Value Plus
ZRX04170,Value Plus
ZRX04177,Value
ZRX04184,Super Value Plus
ZRX04188,Value
ZRX04189,Standard
ZRX04190,Standard
ZRX04192,Value
ZRX04193,Value
ZRX04194,Value
ZRX04196,Normal
ZRX04207,Normal
ZRX04211,Standard
ZRX04212,Normal
ZRX04216,Normal
ZRX04225,Standard
ZRX04226,Value Plus
ZRX04240,Value Plus
ZRX04245,Super Value Plus
ZRX04259,Normal
ZRX04266,Normal
ZRX04267,Normal
ZRX04269,Super Value Plus
ZRX04270,Super Value Plus
ZRX04272,Normal
ZRX04277,Super Value Plus
ZRX04278,Normal
ZRX04280,Value
ZRX04282,Super Value Plus
ZRX04284,Normal
ZRX04298,Value Plus
ZRX04301,Value
ZRX04311,Normal
ZRX04315,Value
ZRX04318,Normal
ZRX04322,Standard
ZRX04323,Normal
ZRX04324,Value Plus
ZRX04329,Standard
ZRX04333,Standard
ZRX04336,Value
ZRX04338,Normal
ZRX04343,Standard
ZRX04346,Standard
ZRX04347,Standard
ZRX04353,Standard
ZRX04361,Normal
ZRX04365,Super Value Plus
ZRX04372,Super Value Plus
ZRX04378,Value Plus
ZRX04383,Super Value Plus
ZRX04386,Value
ZRX04387,Value Plus
ZRX04392,Standard
ZRX04395,Standard
ZRX04400,Value Plus
ZRX04401,Standard
ZRX04403,Value Plus
ZRX04404,Value
ZRX04407,Normal
ZRX04408,Normal
ZRX04409,Normal
ZRX04410,Normal
ZRX04411,Value Plus
ZRX04421,Value
ZRX04425,Super Value Plus
ZRX04426,Value
ZRX04428,Standard
ZRX04430,Super Value Plus
ZRX04434,Value
ZRX04435,Standard
ZRX04436,Value
ZRX04437,Value
ZRX04440,Normal
ZRX04446,Value
ZRX04447,Normal
ZRX04448,Super Value Plus
ZRX04453,Value
ZRX04454,Super Value Plus
ZRX04456,Value Plus
ZRX04466,Standard
ZRX04467,Super Value Plus
ZRX04479,Normal
ZRX04480,Standard
ZRX04509,Super Value Plus
ZRX04510,Value Plus
ZRX04512,Super Value Plus
ZRX04522,Value
ZRX04527,Super Value Plus
ZRX04532,Value Plus
ZRX04539,Normal
ZRX04542,Value Plus
ZRX04545,Value Plus
ZRX04546,Value Plus
ZRX04548,Normal
ZRX04553,Value Plus
ZRX04559,Normal
ZRX04562,Normal
ZRX04566,Value
ZRX04569,Standard
ZRX04570,Standard
ZRX04571,Super Value Plus
ZRX04573,Value Plus
ZRX04577,Normal
ZRX04578,Value Plus
ZRX04579,Standard
ZRX04580,Normal
ZRX04583,Value Plus
ZRX04585,Value
ZRX04589,Value
ZRX04592,Value
ZRX04594,Standard
ZRX04597,Super Value Plus
ZRX04598,Value Plus
ZRX04604,Super Value Plus
ZRX04606,Normal
ZRX04612,Normal
ZRX04617,Value Plus
ZRX04619,Super Value Plus
ZRX04622,Standard
ZRX04630,Value
ZRX04638,Value Plus
ZRX04644,Standard
ZRX04649,Value Plus
ZRX04652,Value
ZRX04655,Value
ZRX04659,Value
ZRX04661,Value
ZRX04667,Super Value Plus
